"2024-04-09 14:38:38 [restartedMain] INFO  ru.cinema.Main - Starting Main using Java 16.0.2 on WIN-RFV12PBVUK3 with PID 11336 (D:\ITSI-22-1m\2 курс\1 семестр\ИСР\cinema_lab\target\classes started by user in D:\ITSI-22-1m\2 курс\1 семестр\ИСР\cinema_lab)
""2024-04-09 14:38:38 [restartedMain] INFO  ru.cinema.Main - No active profile set, falling back to default profiles: default
""2024-04-09 14:38:38 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2024-04-09 14:38:38 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2024-04-09 14:38:39 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2024-04-09 14:38:39 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2024-04-09 14:38:39 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
""2024-04-09 14:38:39 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2024-04-09 14:38:39 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1058 ms
""2024-04-09 14:38:39 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2024-04-09 14:38:40 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2024-04-09 14:38:40 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2024-04-09 14:38:40 [restartedMain] INFO  ru.cinema.Main - Started Main in 2.093 seconds (JVM running for 4.004)
""2024-04-09 14:38:49 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
"
